_id,id_cliente,numero_conta,agencia,tipo,cpf,valor
120,112,27984233-1,2140,Conta salário,997.041.851-38,
154,145,261090-6,1066,Conta corrente,170.029.883-60,
211,201,57376-0,6967,Conta poupança,183.199.837-89,
241,229,21499-7,1661,Conta salário,660.239.312-00,9935.48
143,135,1560912-5,1989,Conta poupança,690.638.679-48,9926.87
6,5,235688-0,1545,Conta corrente,803.561.553-07,9871.34
213,202,0419790-9,2200,Conta poupança,086.548.791-06,9864.56
156,147,0352678-P,523,Conta salário,403.990.634-98,9845.99
167,158,26708-3,8024,Conta corrente,595.947.888-95,9842.57
239,227,0254427-P,179,Conta salário,380.186.223-29,9793.36
47,42,1273767-4,1545,Conta salário,852.423.147-53,9786.67
234,222,1144772-4,6074,Conta salário,104.132.601-78,9725.19
158,149,03155595-4,4713,Conta salário,410.436.439-82,9696.61
52,46,235488-8,1545,Conta corrente,020.064.904-35,9594.42
180,170,1085015-5,5568,Conta poupança,561.214.124-61,9589.22
126,118,45218215-2,3959,Conta poupança,223.186.842-35,9579.52
83,76,1177655-2,4079,Conta poupança,859.031.904-05,9525.94
182,172,255919-6,966,Conta poupança,342.363.481-28,9484.71
204,194,07284-7,6250,Conta poupança,196.882.762-51,9409.25
100,93,1148164-1,7138,Conta poupança,132.391.027-14,9403.82
40,35,83767-6,1545,Conta corrente,981.918.464-97,9360.69
107,100,01629-6,686,Conta salário,020.483.659-06,9274.21
116,109,0099647-5,302,Conta corrente,506.010.913-53,926.79
19,17,254169-6,1545,Conta corrente,461.607.804-17,9176.44
261,248,27946062-1,2229,Conta salário,181.895.211-44,9099.39
210,200,1550108-1,2111,Conta corrente,823.668.142-40,9068.68
140,132,88530-0,498,Conta poupança,826.786.543-89,9056.25
23,21,07032-5,1545,Conta corrente,144.391.287-50,8946.61
191,181,09275-7,507,Conta poupança,833.751.409-40,8878.87
190,180,1199373-1,5208,Conta poupança,423.338.328-35,8860.21
199,189,0125115-5,1063,Conta poupança,847.837.441-81,8852.13
195,185,87358-6,2012,Conta corrente,179.596.729-38,8850.85
128,120,1177114-3,5768,Conta poupança,387.415.272-32,8830.61
129,121,35236730-3,2192,Conta poupança,347.279.363-56,8777.86
192,182,89621-3,9369,Conta corrente,549.451.930-96,8775.21
151,143,77061-3,6137,Conta poupança,379.986.066-57,8753.26
176,167,08055-9,8372,Conta corrente,537.209.731-07,872.95
86,79,1966758-8,762,Conta corrente,425.034.356-10,8671.54
209,199,47751-0,5309,Conta corrente,136.207.167-65,8655.61
62,56,48071309-6,1545,Conta salário,213.791.971-04,8648.22
31,28,48540139-7,1545,Conta corrente,841.859.839-56,8645.58
25,22,38924-3,1545,Conta corrente,190.071.880-46,864.9
121,113,35264487-3,936,Conta poupança,268.047.927-00,8627.33
49,44,92944564-2,1545,Conta poupança,276.978.431-53,8580.85
165,156,15965-6,2924,Conta corrente,676.621.499-60,8548.47
4,4,1167749-X,1545,Conta poupança,845.939.560-05,8505.23
59,53,55552-6,1545,Conta corrente,334.636.901-36,8460.47
3,3,54377-2,1545,Conta salário,695.097.514-72,8403.51
27,24,30920-1,1545,Conta poupança,409.981.510-25,8402.96
227,215,104742-6,1659,Conta poupança,241.344.629-08,8401.33
2,2,200693-6,1545,Conta corrente,028.796.232-60,8288.56
163,154,0039249-9,2725,Conta salário,980.210.268-71,8276.41
95,88,0497816-1,691,Conta salário,189.177.207-49,813.88
109,102,09640961-8,2076,Conta corrente,062.077.614-56,8107.88
1,1,1012421-7,1545,Conta poupança,625.181.705-45,8106.44
11,10,66046-1,1545,Conta salário,454.817.732-95,8063.23
78,72,26135-3,332,Conta poupança,219.714.045-00,8017.89
230,218,59404-3,7881,Conta salário,590.211.843-38,8016.16
235,223,1340953-6,2005,Conta corrente,450.523.372-30,7975.72
218,207,0038942-0,2802,Conta corrente,570.320.351-16,7921.88
60,54,94142-0,1545,Conta poupança,157.363.154-08,7908.83
55,49,294522-3,1545,Conta corrente,511.379.904-14,7908.28
247,234,50961642-0,1684,Conta salário,077.396.080-50,7898.61
201,191,1290464-3,8566,Conta salário,996.266.452-70,7862.82
153,145,261090-6,1066,Conta salário,170.029.883-60,7846.66
252,239,07034974-8,3441,Conta corrente,657.493.567-95,7797.53
103,96,1163569-5,139,Conta corrente,882.687.421-27,7793.14
205,195,05137483-1,642,Conta salário,381.186.998-11,770.36
123,115,1277185-6,3676,Conta salário,450.490.884-02,7690.47
232,220,1148449-7,235,Conta corrente,310.175.958-79,7687.32
70,64,1609214010-1,60,Conta corrente,479.400.944-59,7663.67
141,133,0667961-7,5051,Conta salário,240.706.831-94,7573.36
87,80,0867506-6,2112,Conta poupança,293.168.930-03,7553.64
90,83,94630-4,122,Conta salário,376.297.742-90,753.54
58,52,1271883-1,1545,Conta corrente,842.343.555-50,7500.47
220,209,231389-8,583,Conta poupança,112.525.651-60,7457.18
30,27,1129937-1,1545,Conta poupança,093.412.414-05,7434.18
91,84,0968596-0,1198,Conta salário,499.437.488-00,7373.71
13,12,0396073-0,1545,Conta poupança,153.925.271-08,7345.75
20,18,1088750-4,1545,Conta corrente,098.772.988-80,7300.81
134,126,60681-2,5821,Conta salário,845.076.784-98,7272.15
175,166,24907-3,393,Conta poupança,180.862.327-43,7268.16
144,136,31253-4,7348,Conta poupança,776.557.077-31,7267.49
221,210,2420340589-0,42,Conta salário,877.154.673-16,7245.17
208,198,0067750-7,1771,Conta poupança,538.310.334-12,7190.91
157,148,24946-7,644,Conta poupança,903.697.613-83,7114.71
136,128,02354182-2,458,Conta poupança,821.629.071-35,7103.18
254,241,1039532-6,446,Conta poupança,509.577.923-44,7087.83
238,226,0387028-6,2182,Conta poupança,148.016.262-03,700.89
98,91,37685534-2,2269,Conta poupança,553.959.882-20,6977.93
207,197,0678489-5,498,Conta salário,219.611.274-74,6947.15
262,249,20611-3,604,Conta salário,519.776.635-24,6923.37
203,193,45406219-8,944,Conta salário,612.167.682-50,6914.22
196,186,3502-5,4019,Conta corrente,949.542.356-26,6865.78
185,175,87218-3,936,Conta salário,129.488.663-08,6739.16
113,106,87737-8,5798,Conta corrente,534.362.091-47,6734.74
173,164,0557587-7,24,Conta corrente,572.391.224-09,6734.59
104,97,1280661-7,289,Conta poupança,003.804.762-40,6691.91
229,217,43907042-1,33,Conta poupança,033.383.671-55,6634.65
246,233,35862851-6,695,Conta salário,588.912.395-50,66.19
36,31,82479-2,1545,Conta salário,842.978.499-33,66.08
260,247,12362-5,8438,Conta salário,476.906.052-14,6575.78
88,81,0631916-5,2092,Conta salário,247.449.191-03,6570.45
226,214,1742704-0,315,Conta corrente,149.400.631-60,6517.53
81,75,253587-4,5819,Conta poupança,816.774.624-00,6509.78
10,9,09590423-0,1545,Conta corrente,269.899.297-23,6464.62
26,23,27488941-9,1545,Conta corrente,533.168.897-79,6410.74
106,99,1042638-8,4717,Conta poupança,188.384.859-84,6409.42
236,224,0412748-P,229,Conta salário,205.049.155-76,6395.63
174,165,17455-7,3095,Conta corrente,925.657.661-90,638.29
148,140,81612-5,9190,Conta poupança,770.886.122-59,6191.34
259,246,1014051-4,4234,Conta salário,379.559.040-01,6010.48
73,67,48373-4,3047,Conta salário,462.626.519-77,5934.26
146,138,76852-1,3824,Conta corrente,071.885.324-51,5885.31
29,26,0878734-4,1545,Conta salário,070.103.454-81,5879.55
177,168,46131-9,7732,Conta poupança,152.625.162-03,5804.76
149,141,269489-1,1652,Conta salário,726.978.601-18,5750.75
96,89,81881-7,9207,Conta poupança,225.872.609-30,554.84
135,127,0122542-1,457,Conta poupança,787.452.336-91,5531.97
194,184,188369-0,3617,Conta salário,229.408.941-32,548.98
114,107,92536860-7,2219,Conta corrente,197.902.655-65,5454.67
168,159,0780556-P,5883,Conta corrente,725.767.481-71,541.87
118,111,83949-3,4021,Conta salário,776.862.934-59,5332.56
145,137,49841-9,712,Conta corrente,051.544.012-47,5305.92
45,40,1636164-P,1545,Conta poupança,112.551.654-21,5271.66
214,203,1204864-5,5808,Conta salário,281.307.136-67,52.78
160,151,18828-0,6118,Conta corrente,528.674.804-00,5172.19
15,14,0534441-7,1545,Conta corrente,449.036.841-05,5156.96
137,129,76519-5,7230,Conta corrente,518.073.201-89,5133.42
142,134,07672787-2,2239,Conta poupança,996.406.401-23,5051.36
